ID,issue_description,inventory_item,inventory_revision
1237,ncJhJcuYT2SNIndP7nQVn0LrB7Twxyt1yWOeobTSZWZcbhuYrL1rdO9xQbfLI8kfIaYwY9kgU85RbtQdN5El7CYkWbNN5HJav3TAJ89rlVWeTsWhKC8N39hGCxZ7vXkNzeghaQUO5WAmp3RoEqC3I5gvVM7ViC6NuJoyLzG3ruRg95aIgv3EUqE37uLNT8q3aw1gPccP,5831,1477
1238,LYo9wawyywI23EFv0bn3ktDYGMD43EToeLepP77vbeJ3ui3xadlAlqicUP3kW25udeXrjZf3d2cGjKoiSQdZcSDxmCU9EWZijYZPKMOB7sgsOc2KlUSFZfRKbkEgEgyGd3gLuYYGBbcuvUiKKKYtETJDGPyjHr7b3aPV5rZN6LD7DhYHC4W3HFCJtdEfjz8UeA0VENOc,7639,1870
1239,x2PMAj0qhNVDUyYGlcm3nHNtcCrDDzp3I5RJ3hcfp2Rv8bqC77lw01iqpft82xnshb5YgOMDAHOuzbuBWoFFN2DQXldYyen1PjNhgRfsvhwsmy0OurlNrieoYoB4vyPfeWfQNNfEIWTpGVojvPnG2ZKqEiJ1Qk77SQNPTkAhMhEVOziD9bJgKInEMyLoEnyhZWX0HYQK,2440,994
1240,4VVzbPAG2yabwJmIDeZVcisg52bs5lL9REOStXX5o8v9G8kNN8Vvv3nVmy3jxSKQnbKr4UZpHdrextZ7SNe7PaNXb3p5dxHVyeWpy2S2jpnSMIh2Y6RkxMBMNwPBodMTVVqTXuJZ4mYkw5KSVwghghhldJbBnRNFdU71cOfow2pLxaaSm7q17oxxxEzNSHwnYTHc8TzG,2838,8670
1241,uo2WxCtJZpkVHygKDXZRWpFBweT7USHjkF3I4bRxeJsGDCLS5yQbr9fFi1jTsvzGhAvC4YPmGlxM698uTBBgCp2kjyjD18EsUliCQJXhinVFMTIj3zArtTD2ILcGyMuIhE2Va5dJne7YUwXQqAKB8W8Bhq4FrRsW2MhHaxI7W0DPVohVxLayCtKLG1xuBXcWwlgIPP02,8683,2093
1242,pHStp3IiRf14TJCWBjAX58XrcuIZGiUh6zDC2WL3lcF7f2RWG2NR2dRqulQ5utctKT7eF9dpXGwd2aMkcvTNUDpciWSRFQJ29WwL4xQGYi4vryyTYqc8ZPYGoe6tqMjG63dgoBppfMywJ3uti82ZyLcu7pgZ0hZM8xzyUSpXAwdNam7vtMKsTKRvbsi8fQz7xmxVE6ZQ,3122,4960
1243,ZBrPUVsupoXr2ygDXmtq2u7fZxzlrxx4YzvPELYMQukKkFu8zAjwgmloELzggGC20dSDDQ9LNgaIKw5UD0vqNAXwNGL2V1qJrrUHxq5jBYj9LdeRQfcpVWp0Fg06EHzV0RaccygX4MozbXktl3l0ZAyVCdBQ08e4iNJ4DCzc8FuIr0Yr5GUKf96zcEZ8wPg6ruQNOppj,765,1546
1244,1TPpoMFUVtnUZjRUc8m0psiyb6jKdQavGVHmjwaN3c4wSWUq64Nr7OdIubNrm41ET2ODcoupiY7NywfEm3OiDtx1281Hjsk9k0daIRNSJhIiRQU85JFspSBjFWLdxnG0x7m8SF5Up6ZflOklo2Man2TSy4VwFuegbSuTnWp0NuCt3f70vjy4bqM5oUJYuJO5b2ETdR8S,2134,3509
1245,M2zjYS6eAg5kFuFypTMQGDfHSBboWelgrFdUGE50cPIsA1xTOompF6PJWsRX1RHg5Y3ARuskXWy04xGbOHar25auzU8Yxi9KHmxl7wBd6CRtHZOilzJt1ao97IK7wTwzWnsSAedbG7u0nrmaFZx8YPTr8xnzmErnPcWdq6iGWsn4pyVQfu1WfyaHUATM1nyBPHkLUItJ,8492,6949
1246,mqmYCKcWU2MUHbBPJqmWPs3loiNJ6WAsgyLue58JteT6z59IJE9Dgdb3wAue6Sa81dyTPQuNrdnuZ7vsjFA1W7MCWS8eLeMbDVFVHp22UwVD0reyOB50Sil3Rv67SQBNQMrD2al3NHhkmILpxJPJiWIfuLEVt4kDuHxo9a6yaCnLBAQIkQJIB2p4DLTqVPJSgezfVgpW,2050,4257
1247,tgs7et45vcubC2c3lxHQdK2VohKvxDkw6kIILFrkvaeqhFb7Cb51P67joWT7iJHr27fbtUrfGgfCpLyjFNtWIshAnjdzwuCmSxyjjANsuZvtb43cht1UaviJafxK01tVd2u2WP9F9Alt7xitqARC3rMhPpIEMD12paPiKBGSuwVZJyMn6EdzkqbvqMmqG425ItEgiAjp,9088,9844
1248,SGWwYadfIIjCS98d17YZLz4ZQZupF6fy5lYVZ3yLNlwtVGaFhEIlRexcM6f8qxaMnuGrknE7JMMkDKEK8pIAx3hax6JdYzfZLkGk9te3AKbESMYB2V9BpZYtNp3nekjUqxYdEdKPKOAmccIkiHlCzdtwLXXTz1ZZkHXfy57YLu0aYvQuhSFX9heMDmRrF0ZTzlCVEmwn,1635,2008
1249,1FnSXZGmwhwBZDmKbLnQTUUhlxt4p4fbMxpYjvP2kcE2hxL8t3LlA33gvFrjqL71BUzmXOlq5up0QcAxmuLvt4bT3IneDpMZfN1N8ileSfpPODQTF3759LHH2ftOkGmQiQUDkxyEJrdOOME02UZJrQZUFuUczW4L2Zq8sNsRE3vSs32pb2WQrciS0A80cWOxxRVzgGIo,6095,1189
1250,EyeHlL1oB69neZ0YHrP1zso8fbhDJUurokYuxsZw9yVSxJw68H8aZuSWJgmKnyeqMR83BGkYSc2BXWKVolECWTS4SBkQGOIKToFfL352gjI71R8xVQfCtcT39Dl9fURDTrrsQoKvpMfwLUDACx40tGb0UMfHR5WMREnJjQhqGuXg7hrpAk6sZbUNQ1YDJCdt0SeGr3bw,2563,2244
1251,u8s43xf0Hq9nx0tZ2s2dhDQnqoCl7GJKcLrVeW8kiS4wuMfoWRBt4vqqsFNOv32BhyLlJY5guR5PJd2eIYOqFZPqfAnZItzoZ3P5A4e8We9m0ahOMtGXpM6IjeFIvfYAcR0PO6dO3PUkam0EdYMYnc8M7HWgyWN0G8KikRAPQ1eZ2Vr6oBpWT9XASnSHk7agCdebcReM,3798,9547
1252,Iv8jUlZa2xq0hGkKQ783pTb7WY1PeWgd9V1mBsSrrKEm0M6X1RAhNeRyTBM5uJ6fQN1LP8IhoRLfOyGKbdYMV9PfECTAgW6hNjWmVvH3Jd26Swke4BeQvuJR8VHNoHBRUoRpcezqWfC2HSNRcyGe2qwdZFo9o4OCckmnf5BaMy4PrQJpIzvzAgZo1xPXz0BbQAagqjwg,7974,6830
1253,SEvgwI591yJYB6L7wrqnkWwd8q0n8iDOCUNU2UBGcz8NS29eUtxE0JF6SShFSRBSu4Wqt0EbqjLuXjLGrWSOv9X2PQCkx5xKyqcXfSvdoWYQ8UjsHaX69wgvgdbcyenuwA6qGxlYkykZlH44qTcWh1LBJq0B1SpJsne7X3mTz9VKMHKZjgweBRM4z4ha7jgSJar7m6gx,7013,1490
1254,hifAzBfabUfKIaakHdVMWPcCBvaMxmA9x2uoYzFf4hHMw8SQhCyDbfxRGc8DlTmzUgXPqvLSX0RyHQQDdKpvx6hRFci50B4k4S1QkCjv0gplN8K0M4kan0BX8FKONPbV6q4yYAdal35RQ6EHRss5bd7DReRe2UhkETpgDVbMbJzu5tGCBD6fgg4ct0h4s8iRVUN6RhD6,2659,5208
1255,eRoNIhXOdzXCDiZMwNxhddlhYlgJvd9APACnxgsAheft3TQphEvzJtCAqGyhANd9zXxDfwZPfwA972oEU1mqsK0f8B7qrKATAg3fgNJvpfTWtCCxcuMIlxQpgRFeyshUwq9b8IhHs0AN0ew58JO781sNPN9PIo6779jDDlyTNFauwDzBeJfpdkW57wMvJR9D3DP05t2X,3301,9190
1256,t2b8bLY7v8IQdWmoFRYDK5GW0sx8GuRIVi1dd9UAWLgA5nj3OQol8QuywFHsYa0Ar955fJKF6Yr9ZFbNJ4u0GpKEyCrY2ml6UgS5roYEFipjjvZqo3jepA3Bz1HccwNTwvo2xfgegpuiAlfCnAu8CHQTmQG0g5mTUVwyGg3IXE8AQVBOVEybCPRpeUQgZq8kDaNpyr6H,1154,6055
1257,k8JQDRP1ecGKRFDHTwPWsrGX6zHVaoIqUaoTfNR9RhMgd2JIlqXJ1u231vTNJ3bzTaz0aumFfQFKfk4Dq9utR8zkivbu4DzXGWMDCTr0ERokorXR1PhJJriVkPSoT1LbbsEIX0AXR3p9TO50YJ2ogpOYy0cxBDhMFNJ6mP3AOK2PBiBWTbQK8h5vdqUgXNWOWd4GE9NJ,2464,8744
1258,ZWx8WQzFdjwWNiRXc64XmByn3io4RUOH5GIj8fTDrRtwb9QWzqgQO2PXhJEym4yJUobGZsZ6n1pUSBM3SSFkx73D1vBzaebwdjbwiJ6GRjnWM4Fg7KgUzNWXvYPorkfIZ30sjZVIV8TNUg06pe1Q8H6QNEBK3SZrEe6TDX7izX803ICOhS8MsPJS6keeXKODilJzjh2S,5405,3154
1259,akIGXECwnlTN8yUoWd2cKpJ5SR9MoAaqoYzjJ0NackhntVnVe5KZaFIubNyFEzImKnij8vegQb9jIfL6oortzAPjQFH6CHVnc4cGwDWtbnI8Fim6C1aaHYxKX8T3oheIGWHNCEJlR8RM2RercL4Kr5gDHStxtdF3I91sbY37ryIIGkSFemadnUbLzDGuVV2x3YD2ZvPD,2770,9422
1260,c2wX6gAnTGDlPyiq2XSJlV6VOshaqsWWLr1iZbGjtsBvuRJPTt21uHUG6bJO9k6ltqZi69RaRsZ3TKk7jSG6zflEWum8S1kJvaCE1kSTcckCrbww0Mpqd9wOEVLMXSIZIQH3HgF8AweX4jX57zHGM4qvox9gZG6JTL4bT3oUGrqqfZUe8POhLBMNjVPUgii30VDsp5mE,1855,7968
1261,9eN9QPdfiK2Y8S8q17oUxhJw0JVlyCmJWXBrAkEA1BAXBbXvu9Doa19bVbJH31qfhsCkQQpR2ndwhvuYwk1z88teYkWjb7G9UfzTYwedTwvwYM4kquUTA1gj9hMq4G04hdcB5b99FXfMM6GLpv2qnx8c8QT0kyjM60P4u3oPuUNnVUXDbAAIOJRtf9CpHIZQxSPVqLbw,1077,6414
1262,6SjUGo2QZkxa8wjfZu09Hl57zDEBWPjOCkN9KK2Xw0tycXUdvLwq6GgUWmfDk04JBjYYjkUO2cNR2GectlPKc2S5E3mioyx55jx3953L0iyd3ObPHDU9kuqIQdUp7wjDoSVSSkcxrET4EyBzbWaleyUL3pmflONE8uyl3J7gkgSgavDbbeOlV8j07KZn87Md0P6UAa6S,4085,9093
1263,B7fxuHlKEG9mtAK8nstTinUzqLztbAi5Ma6lUJZSBx2FdOg5JBwNjFWXmqHjR2sDiEZSDindSbRuuPWbo4kaNUWGEj9oCzAJEygYyN1kYT4HxlmXUq5WSSzOsTNej8bdaIp6t7maC9B4ZOSd6lTW4o1w9SqfAWAZ2brp5qoWDeTSR5ydAui7pFiwQ37bRHap8lC7hmhP,9656,9532
1264,SaUifDdNeQyDux34ZBtMF6DnUp215XMT9rwHbrY37DmK151PEnNffu1WXqOzLmRHDeDCAvcrn0PBU3wYxnwSKqxP0ZuvcisVwfGW2yOSKf2pfzCe40Chz86XryLkBrPEI3PywZg8YdIoxItAXQ1mgKfxispEmnRdQygmkNrfUDJV0SjiELNv0mh7XbQDtbVuMpY9lGaJ,5537,3557
1265,RdBK6QIH9bagmnQiOI6ov2rYJL4k68uDMeVE6NfA4lc4UqCutC1RM4kZwmAvViLBqWTISMmBn6tJaxEdIJ13Gd0S35SUNtoWaaN7X3bga0oQLa89hgmMrR5NfAPW4Ry3RWtAjHGPsUcPykHd7SxqHcpIf9cWoFmJCu9yr8ZaaXeWzpZ52vYleIwyrkfkptknrTNEkTv9,8944,3686
1266,Pu8STzjgd2qBo38KGGcyvqw0pfcVUj9ZrH2C0ZQpAIQr7poTFZMogElj7HnxXOL42QUhB5Ur0wymaE391IP5WU2ngTEsvcSv6WyqVHSJEfytQ8J2Nn6P9QhhYqBs1m5XeCqDPNntzF00gIWhJLeHgDwqyQSoGkScjbPNSFmAANZ3ZqBPUdipHy1aP9P959nOwYRE2IOE,5654,4954
1267,HTo3RHPCUmCnUvkz8TznEAjKGAZ6XLPdGnqiwWsHt3oBMJEfeCK5O5aGtdwQsSpJXihrFCDlls3LWi7764bUATOKMjySkbZbNfnnlXZc9jUgBOuLfzUx0VJDUWegNvBJSc704UVje9Va9rJ8ynwvGlk2VkTP23PNiKNiQ3QLdvT1AsEmMfrk8PDr1FeUBFqluH2zelr4,3613,6005
1268,RVSt2nfqCWMoPSHgqLZ6KXErH2zOIlywOX8rYIM1yUCTZF1ks74ffab3Qkm9xRibiZa1TZHi8hHzVvSBBPgKrSRy6FayfNDhwlv9pAQS0Vh7SlifRk8huXuPIm5O9TCvdkDtATWA9NUVvTfVg4g5OgwZ1f1CFBTgTvdrizf8O7igCYeyGkrEwHg7yn1ebT574xC9zxwr,4156,5570
1269,rR7PWdAD5eTOuMOg347Ag4BlmPWe9SxAoNaPAiRYeYYanqD0uT42uZBwPWnHGgDnrTkgw9fVnigIgk85MgtpY5PPMnAo4KS8UutTGgEvxjPL33QoYr5kwXOwDUUJ91acQixv1ozpc82zpEVSWVPNOrL6g6PvL5w5Jw5VGfwt2PHyfZG99CwnlNNiW0O4YEdhL7q3IAL0,5625,5222
1270,V9jXbG0QwJIJT6iW9PQ2UxvkmitN0806EF1O88YHEISUZCnuUwB5jqLhN9v3XmZxTMEOETXA0IxMfbLj492E74WX4UB9MfubsfBN7ZqBYAEb28CwxL8YuVzYzqTtSXxVYWdAa8leS1p6z5e5SPMBgVrXpmXQF6sBMtCgeCVyjeF2p3j4LYbDLwyDpGUxlVZWJotF28aP,8914,3784
1271,bCPyrwDcEreoza491YriNOEttBJdCN7LKxVwx1YitIQr1eyTL3HCiUJM7gEqmka1tSeCEIM9AIyE8X1PMzSJG5nzoIyQxr5JsY8iAwOCqHBZgFNkpydxSRvxpoY6T5MSMoWjZSPakPc83NSi4Ol8OI1bnK3VYStv4tM1snLWjCMDyw3bWzBFTODEx56OZ4CSgrEKBb0R,525,2456
1272,YL6xm1Qb9jRnbpqIDxr67pA4gHrta49tBE02I9TF874cA2PZe2XCjGRsKBReJgBEkhlWzxADem7Auh3o2SPhh6K5wHrGsy5b502cQ3jq1Th7IR8nImm1RdgnXqjrG4VpqgE3oaY9sjpNZNwfJD7GMEKcUPFjT2j781QmNE8rOnIsxSOK4EiC6OdmWmjZVyp09sPh6JRF,891,2689
1273,2j5coBB5oOTgAtYoQlejVZ7RsFDrNuwd7pW4q47iXaJbgdrfIS3qkg4clntj7Ur4b0iUXe7Wo5L5QgvPXhi41G2bv4SCKXkDsP9q4WIoUgCpV8MF2eMZvwCV8HjdL4LQUHNAgFUAZ4kUDMFwsMJpLKS5NnrwwpcZUvUNvLjxJLA1MrRvBxv9vfFKzSx2XhOubKAR22Ag,6383,3657
1274,f9KasfV5u93doyqKYdYqZm7PaCrA3JwOVY9G9YjRgbxP08fLlrdhI773C4ApyVCkMpHQzjKA3GJ7yrYchgYLqPGYbFDEY4cKZMCL0OVBhdoBx9FUfiIS7147jtztgGl9o8imoNlTKWoNkElcAsi0wKNiSFlGZmfa1pXyadpS6yIlMqWeIXsxhvNevATjle3h0NW5rwBh,456,2663
1275,47ClVmtH8C4r3Fc3CaJGqb5ku9UbwVVKvR1QbJpr0eg1mJUQdyukY6kdBb1VRRUnqt6mOMb2vbQL4D7kpE88lvwyqYOASTZiK2L3NrBRX1z6qYi8eQpNTVC57H508bkbBrBC1EX7Crlt5zIS0PgBnMPy0Q5FwLS6RY48XfGZ3sKluSAI8n9s5ixzcMMlJRL1Ypcg4K5U,1404,1062
1276,I5BnDhQxHJLkAslFgKTfQlgTNFzdNyrpjyZ1xyIoVWKCpxot5youAn0gZrZ8rwjTbgAMTtSrBpJ4beoZbGiYJ7o682cFYK6iw1kJxbaLg6tVd6F4DAhlOKJe1EOaRMS1slHk3em9pX2NNScCxhCYmUUmrGRtNA3Uo2m2yeBiXi60S6QjlLntJ3OYQf2wN3vpdhiVqkNS,5171,4740
1277,AEYdTv0sHBXJKunOlTmOVewQXvX43B8UNq2K9wLG6evtSTWysb83pRHgRIGiY5zGDC5e1dOzIfR1tD8DYiMbDEo6jW21qmrBpppPX26OMJvK9QwOJCK0sYC9X94ekXIgxQMDXsqfm8O4Se6Sjorob1SRmq2Y7bnzAPWtDs0bWpNuJIq3Cm56pdE675bq0RhKUZ3DINO0,7942,2732
1278,SwniHd99VVgrKhKZwIRKkEHDauPnuzXEJYLRSYx8r16LnnOW2sbGjnqOokIXNWOf8chvV3HXVTctH5awf3uBYQegs7msQauUmaNLFcA9kDvQK7GtKV1TlMHr7BDYQZG4iHGrsOrC3vaUfNVu03h5iatZTfNEZltL60sC0ZA5oza0vwLupTiW1LWHYqXNBnnRCPYpfS4a,8926,6252
1279,Qs93ogTdYGDWTudkoKBx3BLIxgYgOXYHdP4nHeC13iOhOp6nM5otZGtPg1FIIxOBr63EzzcJHK3Uwo4HjuUSspsXfoHQZ4sFTN0Sw2xWdelOMYd277iXd6SBNgiKsLuNbyBjylVr67zODdLHLOTbWUmX4yEQTmnRuYwYX4EVm0bfGE8tVb9d2T1GLno9hEXTThepqxuR,1675,9728
1280,yf3HQ00U52nKZbgqMtPExicHLijSDirrT3eWMEXyJMIfpJIDIAkACFKPCw5rQhRXL50f6KdIWb5lZ7bCagKC7qpNtOUaJphm4vUuSmG8hcolKi0EU2QtXPZeQmwrzC8q3TqomrtyaLffBEDKYPGQYyOpVzdq0YIed8r12McnJcTLu4dLjlTk6sREEASwND8BCACDWMRL,7926,4679
1281,G5eD5bWSGOFiiuqmw13pZGeRIt1ZyXTHxdlVkAE1a56u6ebRXtZZRHDAbM4Lj6dt47uFIUCvxCPdJuVoSkCF74zpZl4XG2RdcNz9tWJCrnmP2j0r1P394YvAHFphapp4uwB64W45aAYURkx0uNf09SiEbz1ormmB7seGi3wfV7i4AbshSzwMJy5cN7fEeQOyXWWiFqR1,4262,138
1282,fBuoEAGUW1zZ2IxC3kYrAEttgnEKblh5wIT3si3f8K4W97eNvDxqdsAaSAHa563uU4ntz3UUr2t0KWuiJ1YXy0cEI3lrackBQJCEUuY1tc9k8JP6PjRDhf5ecjk5Sm4PSsjATqOYchoW11F8npb1KgduNilvKciGitRQjOmjV3l91jmkdmSnKCEwOzxvEcOA9hyHjzYY,453,8754
1283,gR5d3o5AShJ56fpfBub0f2pkAUvfAoN3kSgw0u6JzDKq0DkScExn6LWnmUci2a9nTQUo92pQySBcs8u6tcD60k7Y52KfSXQZDgWkt6TjZhzoK44okfzZXDwtS5sGsJ8bBlYLlJNwJdhTuTOA7g5wi1CAtnRxNN1PiYmjgtCaSCQ3fd89rsIMNM2KiYc82Zi5lRuWroeO,4734,4914
1284,dflIfQoRGfEpCWfbAIREi2dURNsmSCO3stsWja3LTkTD16PY1PoW7Y5kCQ0RhC9ERK6SnI2kOFv8jadV7UvDX26UxHUSjlnRkOvqA6usXEH1n7BlxfUNR6qZOmfgyjAnbeXUowVAkCpSuEq0GseERa9oiWcXbN4xEdaJjq7BKTmOQXoJ5oZFF6WBetwRU7iWI2ORogRa,7646,4758
1285,37yvYKsScxyzsHHYp03pqMvPFXIXfZX9TlCZMsUljCfviTKHKP1agFwqMipACVwDZyfGErM6fSGor9rwNBNQh6dOyVNoDTjNPbVuyDCcD45N8I9M13xAHgfcVQRteh3Lt2YPo77K9vMmBPPqWAxKgiGs62YhvT7fBteGtti35mBWU2bFBlWdtsoKwqTviaYpxqkSuJ6n,4609,8959
1286,O4htYDbTfJ6dvTEUTDZwVeNVjnRIV2psB0dunDRPTP4PtT4RNaz2NphuqLJvvS8neNc5zUrQvKdGk8mPsA54CwfVStEb3gdBQRvf09c3sjGDMbKri3DvXDkrsHmFQPWPqbzSNHYshCMdpbI1jW39droNqDwtWXndN1Xvl1ebeUOV1HBR8vf4WWw8xlmJUpWKYsPyDXPs,8681,4468
1287,eJdTWiBfvl1tG0FZ79OUGz8E6I1NNkfxC41mfePDIz3uSplYsoaQdhUpKYWOrxRKFEqM9c4duLLR5NwQgcfiKPTejMbGHBWUhtpN9ZZQu6fSVDt7mGrOStAzvLmxAxWtz1uMhiRHDPxOtBJgcedATICxszcxxmP6kwdeTgZDzkKD5wGuCFUgUVZqy6dsGeTb91n6ioN5,740,4140
1288,Lt7926trurRtmOXwpWCr6VQtDEIJLX2Yb4KptzDh9YtmJQOZjw903XczdN5yyjgWy3RrDsD0TfsilnkxzskZYCfEcUMf3PtZ2WyQ8hV1sIhXo4OznI8F9G8wXNPtfh6DvTpOzUySWtqPeHZhGW1vQnZvYB2vRmVLLdlVP9ASTqsQZsRPxrnJpLwH33zybDAuXfEAfDSG,3598,5663
1289,bk5JVqtm7j9Lf9rdcVJM0Pp724oRuuZgxGuMMthJEzGavMAETBl76KsL47RbCc2NKcYYPeRsxAHBJOMq3j7sIckmYiROcGGl63QSxmzyu2J5CqCqvkhcfKEs2w9qNCQr3fEP833RuI7QSokrgld1ioGwzhaBmIlrmcCgmwr1rQsWMxaOLRKmjYIPZRaac2plhQozlEFt,8996,6066
1290,JS5ukBHMzU89INTwHUWQYzlGz5IkmHLas7O0TorYTQCUniIbfz6vXnMUqz5o2gkrIhQK8ddcm77IwQdQxrFwKaDFv4JdtCgwpUMFR8cCVeIapDhaWo1LbxhseLYDT9skaLccDX9zOCbpRnZrXtHFLVU2xekGjZtWwi9ekEW8pC6ZW1a1vrpk1mYF0kojw2PzTE3tn5GS,3572,1414
1291,aJY5f5EtV1tJeJJ3oAZxLwwHGS7qN0lXOtMPr4EtfDhXFJjtjuQG2i6oWRzN7XfeQW5v73Mt5qRIOYB6sOHdjeepwh3aF1vIhCHtOxwphhKLQyZ8P3etPC5v1P9ZAwoE5JlLRSr5bb5BUSY8I5KLWB2fHV18yWov2GPHMNq7MjRyG3bj1BRFlcs4QFE6asHFwJJNCQv4,2354,2207
1292,9wtEYN3SHwFjKaXV0HItgdcMC6uNglPW1Xc5LMr0DIlUAN9s0rZoveqfUhCbdpwggtrx7cKoaSqY2HMy7BXyLlkWq7loKPXXVExQfLvXhvNdySnMUNdbR7U4JVGA0fdL4SCxU5TvQARaYGiYTZT7v6FYt2HKFugBRCjfPz2Z4rKRp4gCwsqbMgZ7MnEbxIqgdPIVgDIe,5334,9106
1293,CDwytzWEXXEFzunmSlvalvBoyZvLgtjL4ReWKY4OEtuTbYaYs3vhtGTRCI9TDLiox2KhQQb3qgW1ArMa8Xcm8Ccy8MUCYlL3KGfjN3Ibb10NtbQU5jUqs6qvZViD6ZeFUcr3MmMFOAKGLPEh6AGyQfKOauJ1VFfCWu2RtWITXPbsvjjKRBG6TpyzSddccUtJfItbWxxj,8698,7928
1294,bADcc0K9kT8jsq5D8Q2q0DfSMn0IxeOhEgOxvzAnRdtZK6ZCfTygqL6XfvPzABLGFbeMcHRJPPYWTGHQOxnepr02j1S9jLnPRnTtbMkXBpRbxjEZn9lMYqaYkmnlyRjDmIFpwYzBNPcAZZF9w3Wkka0lM5Iyj9itFNyoeYnPJj9JOa8Lhny558cLRdc0QAbNqt4MkafX,2678,1105
1295,aBbrXw66R5LnyGumWA5w9JHvdefwkGIaoyhbtkGq4TtfCC4yb7DeceHR3pO2RJWKxu89iT3v3P1paltakrVmDo8KrQiDWOZu6isSD5PIERkMmb1R6xSjytHJvySSvzZozHt13aWobMhvDvhPYQHi6z5NbjgPn6XP25WesAXfbnImMVF9QC4er0sAMfaU4GAezR2IYDgY,8831,6029
1296,HTrTBFdg8lC2hCNWSMjDlUmnw4d6kNfglGtYT2eV0XIZc7t05CuUyy9wqDgGmg5vFgRbSyCZrONNMNKzKmBicLrwG7sPVXtTcXT5pShGAVmklwjc2r69fXS4zeUVFwDUe4vz3OJ1E4hHiGLUXPXobtyEEZGL7LBNRSFrAujniF4kzKVsTA80ZZ2uGqueI7323T0QAdTn,6879,7287
1297,GWyNO4DY27NKy2ZVlTAEfkLCqfUFrzqVJqTg52c0btF6psf71p29mmNfLwhtj8rCQ2BIj2Zt1JmweOW7AXNB7qshcxVJUsQdCDqwrXY8QIId9bA6ZktMupEjKepvhQYJ2JtbhkPm8PvyiPhBwYtu9EsX9GmMsnbAu9kzrjYzUGNe4PA47n8IhoJyaWca7D4VyuEjorUM,9955,8926
1298,Z30OdtGrPEoSdFzvZUH72RL2qJLbQPTwInOQ7M3sUPx0rgR8t3S9EBBIr8hThobAv2Jz0jxMaZnmdVLK1MrW7TrHmGj9pjKpyxEzWbHKFFipYYoVwXcV7EDcKCNu9xh1O7yqRWxZEgR1uBsNbONRHzsttloUOXKRirbbk7DakCQaxLsJT9TvkPtYOF6prcLrW9TCjRnd,1646,7881
1299,rEiR5i3eBPDYrS7DMfBYsH1jEy2pjCVzlxipz7JYvMb5n7RAEgEIcvEkN9NGpN594Ox3tSNPVmmfq65Hg1kD7NXzt8b0tDtiRcBZJXQwSzxzJi3RDGjxn1Cr07Kv0XfS3ENO4f7JlyuHahqKEKwnd54ZZUiMNe65Ue6FUpWhIaMzH4RTRArpk2y7Jxyk7v5G2yx5lkzY,8100,2449
1300,eCsFSfDP4MxQVcp85g1wkXeG7SHVsqKT1VXwPDfShr0tSldVPmoSgCoHhmIAXrhNCdYAE3t1BiP3hvxVzwGFC1wzqQOm5f4zKmqyNcQW3xR7xvjwyxKllcLKrjUypG6gnZs4F9IXfuLPkzC4qbyIUTNsbgHnIbqx0uTXCprzoxF1Q6j2gZINSxLULAdi1eOEDYY0fp2A,7522,9779
1301,dhNWbe6PGtSdeDi9LBMI8KiBy2itW1gIcTToHzj8mlXfwj3VRgd0ymAT8Mij6M2PMKAKt41WcNfWwCPO8Nc0YqT0TAp4Q9CZtITlitmWoGYlGog57TltuB0g0K1sO6FcKGmotnpPkFMRSstodu77YTorRxvX13IrB5aAB2MTnWIpzjOHaMPe9IE1b5W61SXr7fQWStnk,5527,6465
1302,TCL91sjo7oons31jiFgPcV8arUT1yqjo6UyBpbDoWNUtDTwWetLhESL7DuShZrzQE9rXEz3GC13OAPXXh6WFfCjnJ075JgOpYEoDlZSpzEfMZ76yW4AcUtuCaEON276fmN06kUvHorPahWOL3IjPgwUoTmnhLEw2H9jLGAOCI2yndUeDzCUtYq903Mn8qO6k4XSiwCF3,9154,5264
1303,Hn7rK9HksJuDdb9tS4WPV46OsFB6Qw7ay1jV3LBo1Gfxz141iDuKgpKNrt9E7KT5LTOl1nzG3sXPYIY0LJXMCw3JrWnJM6qqwklgmSA4NoRyR5ziVI3xwH2ZZF4f9q36Bqcxh2O3Jc8YfF1vhFyED34psMGgXe5huUwkdBBd49oUIe3UNJ841z3IwwFUvrfohbnKSRRf,586,3477
1304,JDOkgNSvSOgAp5boxq6qrNe9wr1tC61d1gpz3MP1C9YRIhvstndkjXo6jPxzWjtWWDJJPlvkbEoryM0P6IAYdR4d2tPnZafcQC4FXmcH22Jes6HWZi3NjV2FJpRfWHLAiLbwSu1Tq2fkHZv5m2O0hS34Jz6sU7vvqI5hfUEorjhq0R7t4V3d2VdQRgncxI9tHt39dNaR,8100,5755
1305,J7uNE12Ny9DS2VpoP8rm0ikyiGX8Qq5loTLffEcvkkT9pz1iUy8ckMskX6o7d37IDbnjJJJKf5BQOkIsPzobsdBcklIjaeRqnL6NMRYKpx6oKcVxy5soPfakaK8iBjuBoUmDo4g7bdv4gXSHQUvevnbIvVxBSzJFC5Az0SJ3ZvMwufDC21SqyQPA3eRSGeolTp1lWcR7,1823,8651
1306,EAboXQSuJbhcQwp96WB0w5GkdEnbpZkUf7MOjPGBAVUME0ZF5Xg46UFJ30LTm0Et1N7TkaZqQ90ak4gmpifS3pXK2CVtDwYKQkV12Fff7zo6eoi9UioDUw0LzwbhFqmdlpJ9iptjDAUDBaqNeVYfIVzeuJBGo7ZQMKVyeiaozFATbwKZGNDtSHVP0pPZon4FlE10E1s5,9262,7433
