ID,result,revision_date,branch,author
493,3KNhkVPeVYQUNwvOskPDmb8jGcJP0pkeLSsSgTjAB7MFccdATKFcCkRcLnaIL9nqywJ4DdrYBPBpO3Gn8J6qkHbkBQG23byCTgQqTi6zcqbwjlNSgwJBD6GrUi3wWzfjb9VsmaUZMGO3,2015-05-24,5707,7386
494,DyVGRw9WajVupKdnK1VjPepGctz6sMAphcshdZRoA8SCEjuCmksyTbKiJPni7CoNjpNMb6KvjqjQMmC29xTHeLWGSKYNvtr7UEdYWhkqa7Pm23VgNuiKsgtXTH4Rh6909l6IJngcMnqg,2014-10-13,4514,9220
495,y2AAKhPyVFFPmTIe8ZnR7NWjOG7FzMbk3gcp58pbWHxDiRz2eMihF6alfawEjJ8IoeVF0dj9tM50aTB7QElno3e6G1JeLl1MIpYD5uBAmix3BkKMYyxfhVduAZ89TExIUsru48CgClAF,2007-02-12,4040,5658
496,q7FXxWpxLoDgvCqhuoiT3ZRawRc6UXoYdcSW8aV7D3jQ5guA4cVbCmmQpplf4scx9oCStUiUTkP90BfPhbB1CMV10BqTzzDUbvQQebQk3AIcWnaoJV8crkuwTKcrnPedh5iEuPvFLb7B,2018-09-07,2326,1345
497,lCJe0ln0Be6T9i6ogo5aFV34j3QPmtrapQGlFAm5SrDQScFmeTfa7EHQIP57UXNRwgotcVjgB9IXRnmHyouTNRckIzc0Fpl4evdwxWKJu9Y86u8emxJqm4EfEEkm2saWXN2gK0TbdljO,2014-02-26,7748,5702
498,17NRg5Rkr8rtvhQBiCks1cUwerMAU0mkaMv4fJ0c5SyLIkq6Vip035gZnawytRP1WHSiwVgYMIwinIo4BQpwKvrfpVREWBsoC7zARHJACRouI8wew2xdmdrkax3aDbBKZIfpTnm4Gou2,2013-09-16,8530,6642
499,jxSeOPCjQOkeNs6kPdVAcGKIP2W7tycdaL1QJh6JF6ZFDIqXrJnolWPdmJOV3FzbvGEC1qargL4fqFEHM9PjKy2D5Xo9TlQAG7T7DnfBs6IabtwhFGI4zQR7OAGeCbY544YsvHDidN0O,2014-10-09,6325,227
500,kG3McWK0qWsDhB9RhNfhUEv8CkalZCRwZ435hLciuiCZYABbOjqc6E1gV5K25ibnE6nmIDuWu7xwBVkBi9XzWz0UDWjlAkmLGZVbWYTKzTr8REfAVIT6LlQPFTjveIWKUlpmAIoKpMAC,2013-01-02,6298,2028
501,1jQ1Rp9fIFWDziqq7hopY2AMeJQ9lOINQk351e2omKd4wlUHgTEjNXk8iEXHZA347IxOouzdp9COZGa2yIdRJjA2A4WxGuPmQj6nxFdvel4OVWjcnfTQgluYI5OuYCX4ta7zJwFspsxi,2005-01-18,9481,4564
502,U3Jlb8Foyif21tWbNAe4YuT0allyyMsXYkZe2wcvVSAkRM16VVUpQmPkkSK0XQ0mzHdQT2jbhtjGtsjNtodc1DGvVy3jlmXEbYvJskmcw3HgDJ12t7GswYuvBs5f9Az5WeoU7ZeJCBp8,2006-05-07,5165,1384
503,7BznfpRDn9IAoHdwDLKifg5Ud6pvswzb9uh8KLarNkq7Qdf5h34uZKqaFeKi9fV1KqB4jfl1vdU4z7DAbuNy1ECzEH2pB1srPzxkclVCSC86zvkIbKHOSg9FoL0cn604unpAKdh0YKgz,2015-08-01,1287,4156
504,guO1udZtzs5Rv3ZWMDLMGj77mQzHAK8iKh52r8KQN5LciQFfvKnC4yM6wRPdoStptXGN8goN348KYfZVLUV0g5nWV8Gatqm4MftKK1hOfZJAzBhR13SU62Ixtu29aOeMSD73vOLTxHUH,2009-02-14,3397,5235
505,ayizYR8UX5bZ9hxQ46swDofnr8hziBAFNiilpoxAFng0wvTPTDMz5uQwT4IauIvV5WMb8MkPJsqaIp05oRfeyLJdRwSvgXP61K5aj2QHd7qNDznoEMvcmRhtMsJM4ztvcui8uZVwBYB1,2007-02-07,9868,8475
506,InqTlwTjmLO1sENnN4vTRp4o09bOQqOQRrEQJZKpa8ViLeD7LXnkKHKctCclVFS568jBA6dytF2STVdW6eC3DoFKglgH6jUVpZmM4C6O3z0FO2IYiGo0CZ2R3ZeYZW1Kvhm3sRb4hx9N,2017-04-07,3566,4780
507,cIiz4dSQhUSfihyh7qUrPPpRpuTOape3dz6RyBQROWWY86W98bPHpOYNdRKJKEz20YBslht6aCc32RTtYTP8ZWOPbtyg0GHKhehj4nYbsTrnvfUM7bv0y0cdKvQ1tMFT4RWYtuyu5yPG,2012-09-24,9507,3681
508,ZmiZVRVqBEYIWgrgNXsdI6cNmA5AkWxiSUcHnq8m6pWoVqXYGt2S29xcJVwUWVGpQz0CEk3gZFhdky26nh41dfqShA8R4nQkjrXfzVTf0V2wbT2UdzrzaPLvJieEllmwz642aWHRNYBH,2018-09-08,5247,3479
509,HnyE5bKUgmVR0P4OtG7fZ93GsZlCNDIQrR68wh0XwkWyA0b7ewYg5VxIurWf0HGcdFjjS6bLQksznEG28nibomUWdyNFLUhpe3V4Q2piUNPUn8fplehMipx0uMFesW96DCVttLlG8AGb,2014-12-27,7108,5046
510,TidrxUGzFfKDwL08NTRknv5Z2aOiiWdudkKJ2SIt5gnOBhTxKIODtI1hnEyWGiQtCZkMAqF5KioHIrYUHaYaHZBVsmgydwmXP3Ml7HwdCT2KduZ5pePpJ0lmYOdYKRbY5Q1OfwW9o4Xy,2017-09-06,6176,5534
511,MkI9h6OZRjNsnYSv1ePM3La3HPBOcxFhXfLkIc18Cb65inWPmm6CloFBKP1S597eeqVINrmZnQKbOeUd2vmz0C6taJZ3kiCDebb2SNC49hZUenwq4XZKXHnbulsDRtyEOG7wCcLpsr0S,2008-12-03,8792,8208
512,Wt8NJ2qWy9Iqe8mQtUGXp9ncMtbpRVxIW6qiuk4Val8CUeKuEjjSf1GWGgBZaAFcM9TiREgIau6EBkIrjrkrvemezUbNje4agf0ULlcADa2v5BVfYU0tZXrrXzt7mSj5zgiftyf7PknV,2015-07-28,4026,1180
513,85zPnLAIyJ7W2eXv175Zd0wky3dztVFfP59qcTRofaqk0JFuM2do6JUHJPburLYcEbG6fqShqQ4DJLtoytm11ajGl1hN2g7TBNgZDIPfj68pPR87fx68jhkn2AUnJFpJTkB6pTkpdGR5,2014-08-15,1630,3325
514,3jrFk8udm3hDxlVeRyWoPCSMMQecPpK9JAukXjjU0hTvwg21uxoogLF0Qf2UeSO7si4x0vGrPByrthZpYmrbAgc753U2rP0iTVCOmEB9r7YeXXHtFN51kw7MF626bNAALQXXeLCTlruC,2014-08-04,9427,3368
515,vkxdT97gX0IpMEhd7YTH9uP3KlP2C4FIWVL0agqMS19nDWHhKRFsnchBV3TrtEedv9T13qCarHyIul0xersvyWe3xJfhN9cNWg2DDQodOoAgnYRtCfNBWtoYeZDtLeNsolwOsxuNDPgK,2009-11-16,7073,6616
516,2vfrwa1m1einN4RuaS1ClCBOv98GNeDgJn1Z8f6OtKXOOGAI7wtDHNxzuQ6wcuZWbCdjD2v5VnSbpwAo8zJbv9Y6zCpsjJv9uAxLmaFFByre4WJ7QRyml8kbohtANCVL1Tqp9yChuEZ7,2017-06-15,5035,9271
517,3rbRVJYwaWhFrE28cfmkpd8bPQ2himIteQHfkD0s53PnQ70pLbfwRbxZtACER1OxNyka7WXYp4pvOULRZMVHHWcDcrwkAvbDpcZcWZrzDGHWvCKYyvoEfGp1Wh8QkwX3dlFw4s4AefDA,2015-11-24,1946,3944
518,gXwPGWhiwiGzbbPQtN3J6YdF0ojADomQPitMAHwGEh9WmFiDQxRBLHdH4qZcxhfH6zj3rCQlbwFZYHduGgtQXlFIFlSUsUTgB2ZxfpVNgpjYCDtwMoVQyPuVtbyFu53GdjXgsqPaKftr,2009-08-13,2739,9898
519,2fHD8DswIDDE1Pdlwd5cqNEgZ5FSfCUDVwNOxzIa0lXomKj4CI5ivnUpbloD7aQGtAtECOx7UflEzZ3PVLPXGwRrcixMKEdaUR5maf2xU7NQBPzBrZswK297sBmeakwQCLuheQy0TbDJ,2009-11-22,7467,2425
520,swevWqQcS84Y3XWtL7O0fRhal2dsz0YqVZvoFB3V4SPfWZ65ET7lx0qaPEKeNhmcjNDdlsoKD25NCBEL5hng2x3ftVZB0ZHXpw5IWdTWpxh44cYN98iq3GjwUhtQSmTovhiPF5ycOR1F,2018-12-12,219,9782
521,7LB10bdjMJyytCDCd3JX4IIDJGblOehV7dTGkbxUD8D6HAsLNymVzNVzD8st91Uslc0Pt6bBGyT6EL6JYQYa2LguHeDmtDULoUUoJccQXkPA4Zu2BiVtd40Z6GHO3zSCeHRu0R95yHDR,2016-03-29,3226,4971
522,uLlKslsud4sCUNXhSMgwH9BtiZ5W1idaQZesOHU2ZhR6j7kktf9u9DlvK1mSqV34bRw5toTK1nXjsEKlzUmVjsbNytiWfCMDoWeRKp0ELy2VpBCFqAdVshVs0iHAG6pyaU5Vk3aJehKu,2010-01-16,9365,9061
523,qdqej1UHBwbmi08OIE4UFqfwjT1KWk2u9UUnQLPj9yUxcylnj6lwLNr9845Q9Jua3rnNgU87yUVRWrTvsNla9GivnUpWP9kzE43vLXHO7n702anQkJhviTbxI1kLpmrzugNbxikVGXcV,2006-03-16,6963,3050
524,rYwGbyRudGnTw6iV6HGVMLdBjMpL0Foa7XdQzlY5Oc8q5QiKyGZCliAg4ugOJG3XcMWYcRfUsKHuNwGSofWtqmyZX7WFEKwIjkOs3KrglETbaQSIoNkntJrzX7Af5aPiX8KniXZdy0Im,2010-04-20,6105,5570
525,oOb1jIZZ3YU6JMkKyuDcFpjQyGz2AEgA920r9Y9PivuJCdUlQ8xiUfC9oKCcTgYy2U6QV2Lavy3U5aOVwNmCR8pe00DyVg5BW5RrgDQYwXwglsEN5rqF4Wh3ocZeyWEP2279Jgys7OP3,2018-12-05,8328,2545
526,w02oz0G9YXDEnvjaShotuEEZ28IqGnrfkRs8daaCv7lwduELozlofJXrvdv1sa3uphdWDl62Gl8wdR6H36CRCDAb3AMAoiUVE0H5QsID2sh3KlOegn8vXlsmhCcCY6NhRnsmKB1Kx8ZT,2015-05-27,4034,3406
527,wsdAki7cIfXOQGp5e9lh2lTfwx8YMYGawJPqcN7tpPepnn3qTdyffsZLY7OwjiQtY6bH18cRC11nHn2J4RFskl5DtERf9KJH8uRqLwzUAhcn0wEvFE2SdiJxAXXxr7S1supWWL8HcusD,2005-09-15,4244,2691
528,AfZ4S1nalepxZCnCOk4GGrY3Gu0t0GosKZwMhXj1GOv2gKsZHpyhXH0SGgyhB4kez7n9Pbf0BD916gX5CamKRHUDieFBjCzMoQCihsKqJ7gTH8VkJ2fkSZMsmjauVdR8NwNqdyYTP6BU,2015-12-05,2259,4435
529,Ie1qgO4PDU67RZUpphGUvpGVdLVVY2Hlo1m0lkc828nJ1bC0mVoD4kydYgNV3i0KNUTaxdEFFHcxB7dCJetDODrDCIcEXGFUHc5hIlCIRj8xIBbbDLMZyx6KnPXpA9r8CHpiB63hbkvo,2008-08-18,7634,691
530,qABM4pgTgv32NXIS19vAV2aHRo7NBRFuVW8A7eEWlWCQCAUDcdwEI3qxk35QsSROpJh0ZIUX5ZZ80JFQT3uheAmbqLZEjxnSEyl3ddoUJZJser7ayo6yhttohGKNsQxHvG3CiLx0OaYF,2014-07-15,2833,2321
531,O8P50yvVE6VWTbm3mB6Yx42m0GkHVoxnJL9tA2Q7Vi7mzahxyecz6iLTGmEuOn9ZJsNHb23uu9CO7PxajwT0L7ql9qnXxgsrjhcHNZV5lsF7f7W0znLbUJOLBlIvPf6OQVpZwpMJaXOd,2018-10-25,5967,2369
532,UwiJVQXZTQGlQjqGv0rKR6EJbBB64uTSgGbc7w398PFfjl20rIrBB5uXsYsTPafj7xFKINI87rLC1ikzIKPvCSQkWEujEjthtgivgssd9sDTtrgKx2LFLugoheyDdj4Y8oSV9yTabwvU,2017-11-23,8945,6103
533,ikvLYnW994NB4p9aypVFZKK8ivoY8MYlnKf2xsAURSVElSgvwVfkkvOXZxmn88BxfmYtKHmFpAyGzFXQP2mnqyA15HdAFWVTRhj83wlpsZ5k7HhTZWXGVYHrmgyCnmASoezSgYWcR64Q,2016-07-18,6253,3797
534,jJkt8P73a1WX7iBFZn5cSPxA95yZd0yMmAceCQTYh51oC9fs5z1QebeUVjtDbiakDKu6FhDIUg5WXI8AZFen8irKfIIcgP78fRk2OinYvs67gI6NltnVEwlfcka7YkmEi61FhFv1cG1Q,2018-07-13,439,9955
535,L51wll4sqEaoHp9KG1ZjQ1pf8w384V3s5Dvctzd7BIZdpGuwGrJuUEHUQVyzs6xVLrtE4gbRXbhHbMz2BG1NLJX05bMYBoOFUER8Xq2jQ2W2h92Ef5xlEkJCT2IcUDQtNcxX41eVOS7T,2008-10-15,1715,9748
536,iI2F0mBu4PoeiZOMmnpEMfJobcXvm0PyiL4MKK2kaCcoM9xyDuqI0OuC8OnYPPHE906WeCCbvEoJCfbbpis2JH8Ta1N6gdVK5YoWDaUBsPXvklAdwMtqhP422m5nyF4RsdNo0FYOOqJ3,2016-04-05,2137,6750
537,1uJUtonqdwdbeqMmUFCGXVmrxfc0FBIq2GvE5khE0hKEl7thehjoJmbfIcgOMwlcoxiY4Iruh8QzLhG0v5WibdgQoQ5dDS1D6sayYVmWzyGKVlUlVqdQaDAKQSuoMNrPHN3cGSbZS9sn,2017-04-23,8280,7299
538,6UHXzkn3rQhGl8JlH1DIs1eDOD8aUXx4Xrr2FUZgk9u0uVyU0GffSwTEzEIvmMiUcms3QQgwbhhsHoS2PnkN1RmlXnDBLo3YaaXIm4EjksDuOl6LvQg9lUcK9HgmNelxoJRrQKQUjAnI,2007-05-29,7090,2919
539,q2Q5H4wF7NIfYbWGHQGETP4l9LalrU6Htu6VOqpuXLuDBu6HohB8vSca7o56dLYnQAvofB1akWrHf1jPOS6KS8WbRfYjvtQMxGwA8SlnpkYYlV5FEprKOOUSoUWAnRp0GeTYEjQ5rTer,2013-05-01,4440,4728
540,jSfFBF8jweWo5lAX5hSGBgAfYvd4tmsqebaUwjzAgumkNmAFTHwCpu4DR9qPlD0JvpKeKpkVsRjR4aSwvXlm0pAuhXCx2jZc3dyhcf5ngaUYKmI1r4eOcOSGoa7xmxdI2GXaluUPc7Fa,2012-12-24,3139,8554
541,OLF8FKApKs2BiHBs7LfDOrP6jOveI2uC0CibreDrGsQ32SrU6XcKGgpg5IZ0ZfhS80LfjjAdHy7gbWEQhbivZk5UXBfjFMSkK85BHLvWW9CSjIFjEIT86w2X50HhEbX4gWWdbDIVpMYa,2007-01-08,6138,9701
542,65f63UoYGhFRDOR4lIwMwlIA98SuXb0SF3kI6bBLs7X471Ra4eyY0icVxe64B3AoqxMKoJ8KGkeyNODIq103nbcgaOUceGKy7tNKpGwufnSQEoHjayNJCHBOUpuZyfq9Zp1eA3ckFFX9,2015-10-14,1792,783
543,HuBp3Awzr9z9WX6A6S0YxmjhVnE7tBEIN8SDeBGZ3BwADdNsJXC0VD8eLdTP6zFq4qvXE2f5Mbfvzid2ZWxW8NwKAx2Ar0cE5GGXr0nR1Ho4hMpmAbzkBtsq3lXR9fNV8b0tcGKjsgf0,2011-08-10,7997,6525
544,IQAQA2CMYZdGcVRV4T6GW5K3QQ1fO1HB9kJtf6UGYnVCnEGXOJ6P5faMGG9uAh8gRbH2Mi0780sskHQMKeQE51GdJ7nZ7kF0pyuM7NLpT8RFwrl80wjgR3kZUnsO5aAXv2DvWEP6Tkv6,2005-04-27,3006,7011
545,VojKBijvNU1Te6u283U4ozmwhnNqIozT6Q3Q1zWMSRhBM6bW028qqwyfCwnXV2njfhWOCdAIhIlWSkjlL00PpInKcXOEM81ao8gpjNUW2zJiKbNbNBMeCX4W4LwoP55iQLsTE3B7gdXz,2015-01-19,6547,8534
546,Kw1LwWXQEJvXbpH64lR8t3XTAO8iAEXzLvecEuw4xbP4Ing0Wa5YwBQQYhKhYyP9w6MpKo2JzXKRncKWsHLjI9CJfNDgjOg9LPIMb0qsivjZ08m6WyyQmq0x3DK7kWkk0LGXU852bdBX,2010-04-23,5663,838
547,kHJvaPWfZUSXpsILL8io2PlY36zJodXRuoWcNyKlzk8AphMsVzLbDnnVgu2daM056BnBWp8Wy7zSQksVuGyzS6NGAA5c6qLntDDo4LWp0ymGyVF5CgsTYBnAygAVtgZIwLiNhEbjuI8d,2012-06-28,3261,9403
548,5AZa71PsZDzXKA5UYeUmx2Y8FJiPCKqrOUatG9K46zxeODYuNoEzwp2DlbUyT9pPWIJ0kMNZTap7E4tCuxCYF05icWHpoWk7KhHG3iKAbpfVA58rsSDf7RJgMlXNEhu70swhxnIMnB6a,2006-01-06,1808,6819
549,YZ7WSE93Xl4RK6534ifSIa4EJ125UtLmD1zokXpvs3KLt1BrFDfwEPX7f2MbMEjoZSNTGRTh3tjPQsVSzL0QNZhxd2JsLNjoTfwbnrkyt83UqIqwg4lANSbAua0OHlVpK55v64pIkBhO,2008-01-28,9525,8558
550,MWLQliaBEvqN1WqInNKuM5zmPdZMvNeiSfBvZEDlf4rLObROVYlSCXIRgjBIIOQ0QI4VU5tiJiOSOoXxML0XmMg5XuOzD5cRn04Gh53ZoCIdI0D2LO67X3OEl97kr3eOG7oXuRPQSbsj,2009-08-14,9286,4399
551,rWoz9f3ulzei7Tsvi3WKLpH38po5LpBiMa2VPpPkD4w4xrS8t7AJqmVCOu1T07j5y5WhaXf2owHQ2NGQWpMNp12kE0Gfy6uFV1F2VviWbHf4fFJBnk6KvVQ7CvckQAErBB5BHO5lH0wh,2010-01-31,836,9912
552,qF1O9jUAlIzjS7FbDx2dJI3ZoUD4islEqd4LI0rcq5Z9YWTKvVdiGlzhLcjpfab2gv2zC4SNFZxOt4ASB2JNOD7FnX9qQC7PehcndeH1DQcrxlxRbRnmRNndxxLo4l6DchtMbWzhvRK7,2016-06-23,4837,7437
553,jrO9ZU8Q38zpSc6bUZPQ1lzEbG19Cp2hfJFNW6oHidSdhJOSVtnMBBJ71JhSc9NNGSKIXtFYvHrYTWhS1jnTCqgeAHVMYVpjPEWP9F4moPa3UvoemPa2V3LawpIQX29ZcHJOASTvpBpx,2006-06-24,8871,6933
554,d0kJ5wOV26dT7oOvPBbMmZeT6oNUOYKJf3whS0ep3xWDz9yAw4hNK7mDVQMQi4HevTyD1rdZgvTyDbe6zMhT169hRtLCnOH9q1RfKvJFaHqYoyA4vPaWXxmyURwIfbvSoUILJ8vEDb2t,2011-04-12,5794,7412
555,sRQXxvm2PdL38Bk9WXuUpyvwdVS543iuYSZOKYf3sP6qx2FB13X2zix3gd3bcq8V4bfqmVz820ma2E9lPRDBfq40ffrqeDbBRkvVXZZfEZ995XBbeSMLm7zNgpKHoIdyZkJSTnO01i7G,2005-02-27,7834,943
556,dQML1QZTuhyrOS155KkVOsI0DWTE9tgluCnX5R7ILzhvzgljqBLgUj3vIWIf7UTBAM7Mod9nNbJYLWBgutX8hARLI2PjJcL0fgumjY5NBhS2ZfkvVluN7VdA5vDwOadvQS3olZ7VyJ6A,2014-09-10,2924,6906
557,SdNir72JCuqyVI8kDhmGl5J6oYZxYdRh9ZevM5DSatl1sJApLV6KvpBWTR4TiEvjcJy6oMYIeTq2TSNeYtmCgHvTXHc5BuuV8BYjUEB87yqb8JDADZ5zcsDVYfihucGujV3R3oKTrnFs,2005-01-21,1146,3754
558,Eb1my42Q8DKzfeOer62nQvGYOlHynU3EKUdSle5pcnT0dVxNZkAfbr7SVcXNxDmnJGpLB53NAMLmcQ53x4ZCUYncWK7IGs1YApqXpmMdqweOgV0EhdZ3okTudMy08uHSVwlwkhNLr6Wh,2007-03-31,43,7972
559,T3lmS8uaV54dxVf5pL3ttDe9QOLsOw0EPxhFJeAWCLbontXWaa2sfNSQZlWDxCMjF0OAyawKLhrhmzWg0yRx4HiBeQqiI6iA81jwfWiAorh8guojOzM9uYp8RMfhtNBP8rjuQjBdPQJM,2008-12-25,3609,4418
560,mGTTtjPjMlfS0BRapR9zL3TpyttePcYqrv5n4sgZb9hoEsnO9sgSkqiswoeAzuUtNylFGng7vkXMWolFGffg5FGANM0POgjroxbPHhHVMjgATWWIDY4UOyyHsl13xQsPBphiNV8iXKTV,2005-08-11,7929,5895
561,zsMzlPcz9UggqOi51R9oyy4rZW6Eecim4ADFE3nvMri3zc1JlYeSGCCBxfZPTXVhv4lpKd18nNbGQB27ewcG7Qg18CRidXcyWAH51M9Iggo2l6vvncvg5OkfXtrILSePvmtP47GRxTja,2018-05-09,7176,1756
562,Qg5Am63HalhHf07OBZH8Mf1qWdslpJ4udp1pXemysmzSZ8w7WVYLfRzvoPoINScQqwoz9S1hwSQkqiQXqvPTvtOLzGAH0elaJjmnU77De0ZMBPFG9QbcDIe7hc93RtrSr0aG6mDtxLz4,2011-03-01,7803,7596
563,B4IjCIWAEoF17EvvJGfLy8KWMsp1TknfSY1XkHQjdaBRhLvsZEuNh9wCtwXUdfreBkjiMXKB05rY63yB66cPzZ8Smzoyu6G7thQ7lMgB3tXlRXF07VXgDbollR6XtWR4ztpZn1ZtaaVG,2010-07-17,6897,8083
564,tx0Yij4R2oVUQJRhccwhsqNF6oGmGiiOQqn6f2WPzYg8fEcQIyokkdgDjuc4cRLUGGEkfVBjGgsUJPk1LzeR47owKjXuabwhMM1YA2vxwEdDuM3UKksnx3aIcRZ67QJotLH7XL1TErfz,2008-03-23,2693,4537
565,pDkztJtTwt6sczzg5zUjE669tYiGYko2PcQ4qT4kbxLnPI1P184oQc3tGlGUln5LFEdAi4zl4uHQuSukhSOZq9lwigyENj8x29iKp0q7JTtgVm9y0fxSZgfFcqbCGvXUvUYutj5qmQQW,2008-03-04,8380,4702
566,h9NswqXVeds8Zo0X5YvBNOERjGqIQIzWOefGhoiE6CQQ06R8a2b0UatT56IpAPFWnVt4It0R0qEK8xanzssYr8CyvMLkf2Eq74meMXzqBKAnViVHff0SgrooT5J6iQv7mYNDL5ab2BXh,2014-10-09,2504,5942
567,1DFACwKQP7LRN2HvZDB7VR6jFYZeUHq5d6FeKu5zN7yNuJOA4lI5We1kHf4nWp5HRQxRxnkoHLtYcsz6KZks9vi8FeXp0SdiBr6dV6MQBdxKvcHYq8c7ENHfrzMSP5xzsLWvwVlOMTqf,2014-06-06,5702,4871
568,X882zfdyjawfu4AGp8bkGWlVXOvugmhTnj5R659NriLWjFdSSkz96mgAWmflutR72c2K8tJu8O3hLPwRucc6whXAD54UaYc7ROdGNTTjaFBst9yH0N0RRVKUF1GDyzTjv5P6vpDaI2fq,2016-01-09,6743,9449
569,GxdNhLq6DJBVMQulwb6yt2VKJZIYzdyakC7BVGCkOT2mosO2I34FscVNbSDHCSGjUkuKTsPqZWjZ9tgbLQP5jtsHrtkDC4i5NSRD7DjZoOpW35Oswm5wCKAl2ndkIMnfxoLrbcdIq0RV,2006-05-26,1973,2542
570,f1Qa8w3CSpLUk9RclKiOuhRUIxFM3pigYsFQ5MhBvIYvQJirjzt3x9B7k5SKrqJnHo614AgZnhdlIfD9PXnD5otYrHq93WUE8vomMqxiSUQQgZzF2T5TDGrc5iKxUgfQMZmW1bwikEvk,2013-12-03,5149,8876
571,RlHkaBB2ELqog9Owz9DHxcNagXs8VGDcq3ftZ40LXtSpvIClz8vZZudzXrEDSCh7HO8nefX4J1tEJipYUHIWVoC5ZqVr0w2VLVhgJZGUl0PiBZpzBqsL3LmdLCNxJpEX8X3yAIO5Ayue,2016-12-12,6516,181
572,BgqJDrb9tEUHLTK6w2jng0z3cwLFbHErINwm94TR63F5xGurnxsf4QdKrwrQgWil9n87gi71jRrmv3GVCdbnYiw2tl5MMCvjUe6KIxKF016ni1ZyqWOC44Ma0GN4muoggIRQ75MOTWxh,2011-10-09,932,7652
573,MGg0xtoaRfTCkQcFMZGajI1uJAthHoyqwUsgOyswd19blKoD4sVMD2TDPvqxAHSmqnPPh60YrT7rJZI9VpnZTmn4ApQdI5wWjWu84Yf717ft4m4zmqcUd3TE9VO2pWPwhlIwpKE6KqhW,2014-02-13,2209,6007
574,ub1bdc2pDq8jJnSfrtLSdHKcmfKwW67FV0HOfyTFscs8LfxhYCpYsq4mQZz7RGTGs3OTfD92aGkBYLQGrnYURjWo5e7G9VxmJmQRQdBUCw7mG3OEIsQor9yIhjXAF23ES72w580NlERf,2012-01-29,3349,2902
575,Q28QEI5JxHtqGAPK23TJAbJJ2CDnsThxBUuM3mAKBs9xPJHkzGmsaYBytyYCFSbek6pwQCQQ2JHScW4s5cxlqyXmS5dFN7FtQeNSeUUw0WzRRtWW4qHme0xviCdUjLC5EXB7IlOkHBvU,2012-12-21,7369,8290
576,jGKhzcParcub09NoT3N3rYNTbhedFdvcr4vcBfGlIlQq1xtIxGAF3b1K21GR7vVOqSu5OvnyxlvGIhboyWp8cqjPDljJYynWQCAjCx3CdLRRqvBVZbdkGWvAte2mLdZ97YzGh2lBcmfQ,2010-07-30,336,6442
577,jNu7UCP4Q9zi5Q09wSUR55yg0cIe0emb4jD7tco4I5zhCDFMvgeF7SXoZNH24vDwXYnVN3PToZJ9FQdwW6sU9gemMYigVwAW2CJoZu82RKbiIXiItUf8Dsw13AIyUs82ZwHCHzWl70Dz,2007-12-04,4016,1954
578,0ZwBQBTJQSuZlJhiMjIWPfB473BMp7w7hT8557lXc7wyE7AxSemfxHjUX2DWAGeSgw1RLmmP7v4RtNzA3N4KVQKatnhD3PXVcdSRFsmp2WiCMRlKCCdwMU7PmbhiFjVsXizP4h4KlOS8,2010-06-19,644,9348
579,BWA0wkJIfCpnKEkSBzoocVPeISL7C9hdOFgsie5wYqu22QAgn962di9qGgseZLGffMZEi2tg32PwlXm1SpTCCoAqGzmCwbXNkOXq158vPa8kSNEs30Mu2Dc1Mt8sQrubfCLXA6AWqixm,2010-08-07,1036,8825
580,v3I5PnUhvfeI7QfiphFQBqs70zDTP0LwVE6XizM2rnmec1ZZDP7ITG1EKLEajAR5Urw2TH9zUNiYENf9anQA2DdPN2MXvwTqWqKuFgG5PHxGid96qE95uRCQNhpb5mEi32BYDu43hVuv,2014-08-14,902,2729
581,2PqqwX6Eo3hh1o9nCOMpbl35KFXYgQB104jp5Xwg57tKNWC3WHsAKBSQWufqAihX2pr6FUrocqud2tsyDeCZhAqzmSSK2FgWZVRhpFxBZDidQyYnCrmfgIz292UwBgwWKXEgbLJ8qA9e,2012-07-03,662,983
582,3pIKdA0RfZiwuB93QLT2u2M0ioyfIVawTh3WXm3JgwBCnWNpAGNQ3pCBdSmyLUIJ8wcNHnfoRKW81JNMaJfCIJ2oe13FAF7Mn1D039hXki9sTEKTEZXCzGBz3ysQuZoMMJU9GWSblHbk,2016-02-23,6307,8283
583,rjAkr5Wh0O7EQRnK3wgJtKMsG6arobotdSiKYEeRxxJ2ZOKUeRqYnLqgXSdueo3YkOk8scvzROV6BUS2wGMXuPFSlCxFkuwJ3uSLnLlBf0GYzufCAk8YbgoUISWqppOhcMCQCHPkeL14,2015-12-21,5886,8609
584,guFAwYsXG7CUz4Wzmj6nrO92VX3QotKbzeJ5jOvDeoJEF4vjzCSktzKSvNpYfbtWwkeUvaPXx3JCE4xamTbmbksAT1KWiWiC5xSeZayYw4w0qIN0aOwLAH4M2eA3Q2ybUHHRmSALfDzh,2016-06-15,541,5596
585,oT6UkXBy2Fl5Z4H3FVfjA5NHOlq7RXXAJzP66e07FSZgqEvk55cdVvKtFyF9qEgeslvkpK7keidsfraJzGBW54pYof1IZ1QBw4yFTL4v819xRcNYX5JkCJjy6X6KTyLmRc5l2V0oMQXD,2005-02-20,3535,9572
586,Scudsq9mVAJ6OubJqWfzhmfCFfYvwg3EQu10Er4lcSQ2L4ZbzOWhWRoq6rYMRO0yGFpd2kE9c3WOWn1KG65hKVs9GL4XTrUOcbwGP5jOJWFc4ZTTzNGUSSouWqWrqrqujHw41v5KXrYx,2011-07-31,3685,2362
